prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
6.397192e-08,0.99999994,1.2791214e-07,1.1099967e-06
2.7743283e-08,1.0,5.547819e-08,4.7420093e-07
1.8570031e-06,0.99999815,3.711921e-06,2.6343798e-05
2.3279026e-06,0.9999977,4.617182e-06,3.250876e-05
2.4712292e-06,0.99999756,4.9382393e-06,3.433934e-05
3.3470382e-08,0.99999994,6.6921e-08,6.269673e-07
2.3108649e-07,0.99999976,4.620344e-07,3.75974e-06
1.5489983e-05,0.9999845,3.0735104e-05,0.00018704357
0.001414917,0.99858505,0.00061361,0.010696767
0.0008358373,0.9991642,0.0009158479,0.00675906
1.2714467e-05,0.99998724,2.5064406e-05,0.00015607258
3.4667202e-08,0.99999994,6.932651e-08,6.463133e-07
1.7979484e-05,0.99998206,3.577056e-05,0.0002143797
0.0017501777,0.9982498,0.0005203261,0.012858823
4.9008384e-05,0.99995095,9.732039e-05,0.00053537905
0.0031208366,0.99687916,0.0012011002,0.021122104
0.00037961942,0.9996204,0.00058996415,0.003369552
0.0006837171,0.9993163,0.00095615373,0.005666388
0.0003128705,0.99968714,0.00033295545,0.0028375837
0.009600412,0.9903996,0.0010070368,0.05415719
4.9526733e-07,0.9999995,9.893562e-07,7.6573115e-06
2.9944635e-05,0.99997014,5.9544902e-05,0.00034175962
5.2788477e-05,0.9999472,0.000104396626,0.0005727235
2.6478963e-08,1.0,5.2950586e-08,4.5349276e-07
0.010788074,0.9892119,0.004347735,0.059592247
0.0003354762,0.9996645,0.00021703794,0.0030192442
2.3512146e-05,0.99997646,4.5972505e-05,0.00027412584
0.00085730455,0.99914265,0.0011947375,0.006911018
1.2896706e-05,0.9999871,2.560051e-05,0.00015806258
1.2744981e-06,0.99999875,2.5443633e-06,1.8540446e-05
1.0055214e-05,0.9999899,1.9948688e-05,0.0001257727
2.6106793e-05,0.9999739,4.9541843e-05,0.0003016097
1.8251843e-05,0.99998176,3.5948928e-05,0.00021737919
3.0084018e-06,0.999997,5.994115e-06,4.121937e-05
0.0006867633,0.99931324,0.0011214965,0.0056885737
1.894914e-06,0.9999981,3.7845293e-06,2.68654e-05
1.0023861e-05,0.99999,1.9828363e-05,0.00012538362
0.00049059355,0.99950945,0.00048103405,0.004228687
0.00025480214,0.9997452,0.00039741883,0.0023632613
2.7865818e-07,0.9999997,5.572502e-07,4.4940643e-06
0.00014297864,0.999857,0.00027056024,0.0014087347
0.00043471932,0.9995653,0.00034221186,0.0037996718
4.2871263e-05,0.99995714,8.5094434e-05,0.00047401435
0.00055622554,0.9994438,0.00076358404,0.0047245477
4.3785362e-06,0.99999565,8.719391e-06,5.8367004e-05
2.9870472e-07,0.9999997,5.9628604e-07,4.77587e-06
1.671446e-05,0.9999833,3.3027252e-05,0.00020052548
8.139634e-06,0.99999183,1.6197208e-05,0.000103542276
0.00051253015,0.99948746,0.0006274137,0.004395405
4.2602707e-05,0.99995744,8.3381194e-05,0.00047128313
