prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
8.691512e-06,0.9999913,1.7349395e-05,0.00010997587
6.6724715e-07,0.99999934,1.3338413e-06,1.013405e-05
4.5120294e-07,0.9999995,9.021499e-07,7.0596298e-06
0.0007856836,0.9992143,0.0014373168,0.0064022075
1.4799483e-08,1.0,2.9596663e-08,2.5917512e-07
6.210688e-07,0.9999994,1.2415126e-06,9.462332e-06
2.7154845e-06,0.99999726,5.428472e-06,3.7534945e-05
0.00040431198,0.9995957,0.0007727666,0.0035632271
0.0014804427,0.9985196,0.0026865255,0.011124992
0.00059400924,0.999406,0.0011171079,0.0050064996
6.783085e-07,0.99999934,1.3558906e-06,1.028019e-05
3.663776e-11,1.0,7.327539e-11,6.747585e-10
4.129745e-06,0.9999959,8.255995e-06,5.5300392e-05
4.649868e-06,0.99999535,9.279791e-06,6.173337e-05
1.6472994e-08,1.0,3.2940974e-08,2.8740666e-07
0.0001562751,0.9998438,0.00030666715,0.0015257797
5.8701888e-05,0.9999413,0.00011672575,0.0006306336
0.0021900646,0.9978099,0.0023553516,0.015599274
6.4275905e-06,0.99999356,1.28326565e-05,8.3268555e-05
4.819596e-05,0.9999518,8.8609486e-05,0.00052728824
5.827719e-06,0.99999416,1.1638595e-05,7.607208e-05
2.980178e-05,0.99997014,5.7426594e-05,0.00034041412
4.3972184e-05,0.999956,8.690543e-05,0.00048510416
7.090858e-09,1.0,1.41814445e-08,1.2681802e-07
0.0016691488,0.9983309,0.002368626,0.012342649
0.00014465925,0.99985534,0.0002826737,0.0014235912
0.0010800583,0.99891996,0.0019026865,0.00845704
0.0004577612,0.99954224,0.00077333255,0.003977449
6.1556064e-05,0.9999384,0.00012120527,0.00065838033
1.0631823e-06,0.9999989,2.1252797e-06,1.5686199e-05
9.223561e-07,0.9999991,1.843799e-06,1.3701493e-05
2.0018995e-05,0.99998003,3.9505423e-05,0.00023653945
7.0246075e-05,0.9999298,0.00013895902,0.0007420006
4.086996e-05,0.9999592,8.091223e-05,0.000453814
4.6415676e-05,0.99995357,9.212242e-05,0.0005095507
1.6548902e-05,0.99998343,3.2961652e-05,0.00019874997
0.00039862463,0.9996014,0.0007173462,0.0035187171
7.76184e-06,0.99999225,1.5498299e-05,9.9066645e-05
5.945342e-05,0.9999406,0.00011817496,0.00063791475
2.1701035e-06,0.99999785,4.3357304e-06,3.0435534e-05
0.000119881006,0.9998801,0.00022991613,0.0012023143
5.0968214e-05,0.99994904,9.9378034e-05,0.00055473624
1.122591e-06,0.99999887,2.244186e-06,1.6501885e-05
1.9117375e-05,0.99998087,3.8124057e-05,0.00022683153
0.00015620975,0.9998438,0.00030927692,0.0015252724
1.4234052e-05,0.9999858,2.8420243e-05,0.00017302603
8.225716e-05,0.9999177,0.00016252526,0.0008559835
3.840555e-06,0.9999962,7.670322e-06,5.1696017e-05
0.0021095078,0.9978905,0.003647955,0.015104602
4.790719e-07,0.9999995,9.576274e-07,7.438114e-06
0.0035391564,0.99646086,0.003982253,0.023507394
1.2848906e-05,0.9999872,2.5622225e-05,0.00015751254
1.1236582e-05,0.99998873,2.2384625e-05,0.00013931109
