prob_class1_positive,prob_class2_negative,epistemic_uncertainty,aleatoric_uncertainty
6.4392266e-06,0.99999356,1.2871436e-05,8.339602e-05
2.3019433e-07,0.99999976,4.603534e-07,3.7469986e-06
7.999222e-07,0.9999992,1.599512e-06,1.1994832e-05
3.0085606e-05,0.9999699,5.9744427e-05,0.00034332505
3.1791777e-07,0.9999997,6.3571605e-07,5.044695e-06
6.5709096e-06,0.99999344,1.3120455e-05,8.495623e-05
1.1280327e-05,0.99998873,2.2530367e-05,0.00013976579
0.00042651987,0.9995735,0.0008380514,0.003736101
0.00027267373,0.9997273,0.00052976055,0.0025105414
0.0012486392,0.9987514,0.0023841558,0.0095958365
0.00029244318,0.9997076,0.000553012,0.0026720478
7.608011e-12,1.0,1.5216012e-11,1.4013894e-10
1.0023616e-05,0.99999,2.002642e-05,0.00012538103
4.066735e-06,0.99999595,8.084884e-06,5.4522163e-05
3.4164523e-06,0.9999966,6.827983e-06,4.6390043e-05
0.0025961187,0.99740386,0.0031993163,0.018049367
3.506739e-05,0.99996495,6.979461e-05,0.0003947666
0.011716899,0.9882831,0.011464219,0.06374978
4.0137277e-07,0.9999996,8.025786e-07,6.3189236e-06
2.4638748e-05,0.9999754,4.8342645e-05,0.00028605288
4.0588533e-05,0.9999594,8.089898e-05,0.0004510122
0.00013685437,0.99986315,0.00027021515,0.0013543706
5.9572994e-05,0.99994045,0.00011843635,0.00063907774
1.0085495e-09,1.0,2.0170885e-09,1.848126e-08
0.0007924894,0.99920756,0.0012052184,0.0064507565
0.0014157152,0.9985843,0.00070080627,0.010701979
0.00010055984,0.9998995,0.00019927348,0.0010261073
5.9750993e-05,0.9999402,0.00011817593,0.0006408695
7.608819e-05,0.9999239,0.00015060283,0.0007976935
2.7625322e-06,0.99999726,5.521761e-06,3.809048e-05
2.9467736e-07,0.9999997,5.8926264e-07,4.7193657e-06
2.3082932e-06,0.9999977,4.608828e-06,3.2273943e-05
1.9215426e-05,0.99998075,3.8337264e-05,0.00022791774
3.5846795e-05,0.9999641,7.145378e-05,0.00040280833
0.0003561287,0.99964386,0.0005429929,0.003183804
0.00026358216,0.9997364,0.00051838346,0.0024357461
0.00026559783,0.9997344,0.0005261823,0.00245236
8.933837e-06,0.99999106,1.7831486e-05,0.00011279246
1.0882414e-05,0.99998915,2.1742999e-05,0.00013520617
0.0010168259,0.9989832,0.0018800871,0.008023286
0.002606362,0.9973936,0.0039990735,0.018110316
8.405463e-06,0.9999916,1.669428e-05,0.00010662575
1.6114224e-06,0.9999984,3.2211601e-06,2.309314e-05
1.2042454e-05,0.99998796,2.4041008e-05,0.00014843582
0.00028016217,0.99971986,0.0005428261,0.002571859
0.00015997227,0.9998401,0.0003140645,0.0015581358
0.0012451173,0.99875486,0.0018332446,0.009572354
0.0006164822,0.9993835,0.0010520578,0.0051730075
0.00019374392,0.9998062,0.0003432592,0.0018500575
6.1218344e-08,0.99999994,1.2242815e-07,1.0671065e-06
0.00066979224,0.9993302,0.0011960563,0.0055647483
0.0001183062,0.99988174,0.00021824038,0.001187991
1.8281021e-07,0.9999998,3.6558546e-07,3.0053448e-06
7.9283665e-05,0.9999207,0.00015745111,0.00082789536
0.0024037953,0.9975962,0.004142019,0.016897477
1.0639677e-06,0.9999989,2.1270296e-06,1.5696216e-05
6.7328256e-05,0.99993265,0.00013430027,0.0007140916
0.0001892775,0.9998107,0.00036642747,0.0018118193
2.8772217e-06,0.99999714,5.7523e-06,3.9560604e-05
1.5184413e-05,0.99998486,3.032454e-05,0.00018360419
1.0393148e-05,0.9999896,2.0741163e-05,0.00012961592
0.0019867574,0.99801326,0.0035325377,0.014344875
9.488157e-06,0.9999905,1.8927558e-05,0.000119202065
0.000111928515,0.99988806,0.00021871677,0.0011302077
3.0007704e-06,0.999997,5.9983695e-06,4.112997e-05
4.085091e-05,0.9999591,8.127011e-05,0.00045370014
2.6274249e-05,0.99997365,5.244388e-05,0.00030344733
1.4765509e-06,0.9999985,2.9500375e-06,2.1304028e-05
1.2636292e-06,0.99999875,2.5259717e-06,1.8403745e-05
6.614106e-08,0.99999994,1.3226281e-07,1.1437015e-06
3.043117e-05,0.99996954,6.0675895e-05,0.000346933
0.00038088992,0.9996191,0.00071814243,0.0033795377
3.700909e-05,0.999963,7.3351315e-05,0.00041465738
0.00018197887,0.999818,0.00035260094,0.0017490793
3.060422e-05,0.9999694,6.088566e-05,0.00034867838
3.0442763e-05,0.99996954,6.019839e-05,0.00034704196
0.00013446018,0.9998656,0.00026574865,0.001333
0.000225671,0.99977434,0.00043640184,0.002120459
1.3889758e-05,0.9999861,2.7729468e-05,0.00016922582
1.3930507e-05,0.9999861,2.7793643e-05,0.00016964076
0.00023501688,0.9997649,0.00045222256,0.0021988098
0.0002859693,0.999714,0.00048787077,0.0026193345
7.767207e-05,0.9999223,0.00015256526,0.00081272336
0.00012404837,0.99987596,0.00024615106,0.0012398147
1.0595049e-05,0.99998945,2.1128948e-05,0.00013190758
1.4851243e-05,0.9999852,2.9603876e-05,0.00017987945
3.8882317e-06,0.9999961,7.7664e-06,5.2302174e-05
1.8355742e-05,0.9999817,3.6653186e-05,0.00021846825
0.0001224289,0.9998775,0.00024278344,0.0012253072
2.7566948e-08,1.0,5.5128094e-08,4.71316e-07
8.224262e-05,0.99991775,0.00016107908,0.0008558017
4.9635065e-07,0.9999995,9.921027e-07,7.671954e-06
1.1114045e-07,0.9999999,2.2226408e-07,1.8892672e-06
4.761225e-05,0.9999524,9.4858195e-05,0.00052147015
5.6991926e-06,0.99999434,1.1380055e-05,7.4471245e-05
3.6172594e-06,0.99999636,7.219814e-06,4.89494e-05
0.00014281075,0.9998572,0.00027785433,0.0014072375
0.000110612906,0.9998894,0.00021703378,0.0011182354
7.563038e-05,0.9999244,0.00015046222,0.0007932718
0.00014439633,0.9998556,0.0002797838,0.0014212909
0.00016538832,0.9998346,0.00032650714,0.0016054509
1.0191275e-06,0.999999,2.0366003e-06,1.5063784e-05
