MSE_mean,MSE_std,alpha_mean,alpha_std,avg_pred_std_mean,avg_pred_std_std,ce_mean,ce_std,empirical_coverage_mean,empirical_coverage_std,method,nll_mean,nll_std,spearman_err_unc_mean,spearman_err_unc_std
0.5252111285924912,0.02203427482570782,0.05,0.0,0.5962083109709414,0.00680467741064349,0.0021698624547114497,0.0006708644967757417,0.8849557522123893,0.009694204557613524,gp_exact,1.0392377940760646,0.01665055934298814,0.3571263759789468,0.03322490165569228
0.25431087911128997,0.019693896671292708,0.05,0.0,0.44041325044940915,0.004632248070359623,0.0013960331559574777,0.00046924438609925577,0.9079646017699116,0.021016534667323745,gp_nngp,0.7675085658307584,0.04672630549334562,0.10432965695165808,0.04971570010169514
0.7597374737262725,0.020784313703209035,0.05,0.0,0.7499591219983932,0.006666900102198251,0.0028991389508307517,0.0007984637990176004,0.8911504424778762,0.00889369523992996,gp_svgp,1.3052306452349067,0.020099942316958917,0.029423591947623444,0.020354702888177825
0.5551901757717133,0.12156047284376156,0.05,0.0,0.5325725735206446,0.016902639226844294,0.011441202171377228,0.010032676737681087,0.8336283185840708,0.05321520841901914,gp_nnsvgp,1.2857757989184138,0.2530694481603011,0.11245924545877277,0.07989574680538769
0.7348556582904333,0.011545293792657858,0.05,0.0,0.7964323718717503,0.009223785235060199,0.004500640943732969,0.00044459383682047686,0.9238938053097344,0.013823450753817109,svgp_ensemble_uniform,1.2879449409458243,0.014744742461653084,0.018907611950228387,0.08209209324681889
0.7327242201725233,0.01203645486554817,0.05,0.0,0.794897937435374,0.010144267872827052,0.004564170627053181,0.000495167289147256,0.9256637168141593,0.012004123863938546,svgp_ensemble_precision,1.2883312595828644,0.01486481760729683,0.012351121165745466,0.07939146994516486
0.7449374223118879,0.03405619696004658,0.05,0.0,0.7895065662777195,0.02345458368418897,0.004144754359860019,0.000868582230161135,0.9035398230088496,0.015044247787610624,svgp_ensemble_mse,1.3034428260745614,0.020145960416278592,0.027888582074653966,0.09657454877517507
0.7632193506824312,0.054158874233497044,0.05,0.0,0.7776066914277036,0.016804970416395244,0.0041133563605937045,0.0008580113870736052,0.9097345132743362,0.01669731173815327,svgp_ensemble_nll,1.3042937586055119,0.03186918409849648,0.09260097145518095,0.10641694240769642
0.3256584259678187,0.02554267787922234,0.05,0.0,0.6007727655699929,0.03339649708615415,0.0013561874770723495,0.0005668709404533724,0.9460176991150442,0.014514353510492664,nngp_ensemble_uniform,0.8632948824751869,0.04407205690509348,0.10113364162618317,0.06244535119523333
0.3253481720228217,0.02552512312427441,0.05,0.0,0.5994785310178932,0.03266745596770925,0.0013033601114541375,0.0005583559478596354,0.9460176991150442,0.014514353510492664,nngp_ensemble_precision,0.8623084523224742,0.04365687021389302,0.09942694124691653,0.0635800521848792
0.31962640120600144,0.018173762278775197,0.05,0.0,0.5650898701695221,0.009506016724112462,0.0018317058995676184,0.0010419034344510837,0.9300884955752213,0.009239209299920855,nngp_ensemble_mse,0.8565972719794196,0.040251669727353945,0.04506620533634696,0.05801066538474713
0.3175979098077872,0.017963857323025387,0.05,0.0,0.5712319217182418,0.011722429678856767,0.0016593270709077477,0.0007323515162433869,0.9309734513274337,0.011740264744620902,nngp_ensemble_nll,0.8509778052631809,0.037548251672534616,0.07336316454853499,0.057034430767311455
0.45615141490628774,0.05043362224122807,0.05,0.0,0.6058132800708043,0.017249040048725142,0.005606143167457373,0.005018803429187573,0.8973451327433628,0.01491353942155106,nnsvgp_ensemble_uniform,1.0435107889898023,0.07028323493699037,0.14610336682413103,0.0611668548844831
0.45737565281095716,0.049674773478746735,0.05,0.0,0.603919957830916,0.017582405654463056,0.005524063212302824,0.005089925494495078,0.8946902654867255,0.0150442477876106,nnsvgp_ensemble_precision,1.0464463359180944,0.06976609465894394,0.14984197218709575,0.061566912870313725
0.44900560237821835,0.046516768477407267,0.05,0.0,0.5738490940890382,0.026891055328944393,0.004227370152218986,0.003731102474642702,0.8858407079646018,0.027830416271710418,nnsvgp_ensemble_mse,1.0764275530512104,0.08123851444991449,0.07408676558652816,0.06615600012391391
0.4446441086552596,0.046716607613459665,0.05,0.0,0.578135044867214,0.02306733646115697,0.0024748651132883515,0.001964185668377423,0.8849557522123893,0.015327883252821903,nnsvgp_ensemble_nll,1.054556717598458,0.07574820642571421,0.06814408809634288,0.07057010612509686
