Confidence_Cutoff,RMSE,MSE,N_Samples,Method
0.05,0.7997972988507046,0.6396757192488832,35,gp_exact
0.1,0.8929026620217371,0.7972751638455045,69,gp_exact
0.15000000000000002,0.8708185445224869,0.7583249374842624,103,gp_exact
0.2,0.949189649501768,0.9009609907212892,137,gp_exact
0.25,0.9129752635422321,0.8335238318400082,171,gp_exact
0.3,0.9140966066218058,0.8355726062375004,206,gp_exact
0.35000000000000003,0.8995151873114519,0.8091275722039563,240,gp_exact
0.4,0.8944958874707056,0.8001228927020052,274,gp_exact
0.45,0.8931743839947555,0.7977604802244108,308,gp_exact
0.5,0.8973665348701653,0.8052666979048875,342,gp_exact
0.55,0.8858681441753694,0.7847623688647131,377,gp_exact
0.6000000000000001,0.8841784834111223,0.7817715905271921,411,gp_exact
0.6500000000000001,0.8935459287546964,0.7984243267940929,445,gp_exact
0.7000000000000001,0.8923495557683216,0.796287729679921,479,gp_exact
0.7500000000000001,0.9031872500355289,0.8157472086267411,514,gp_exact
0.8,0.8940138203791869,0.799260711028989,548,gp_exact
0.8500000000000001,0.8991510105503265,0.8084725397736734,582,gp_exact
0.9000000000000001,0.907080504271471,0.8227950412293862,616,gp_exact
0.9500000000000001,0.9189919991951273,0.8445462945846569,650,gp_exact
1.0,0.9462579385719871,0.8954040863105066,684,gp_exact
0.05,0.741987861813344,0.550545987078338,35,gp_nngp
0.1,0.7575107785829528,0.5738225796693514,69,gp_nngp
0.15000000000000002,0.802441814439693,0.6439128655612666,103,gp_nngp
0.2,0.8402054430210667,0.705945186482227,137,gp_nngp
0.25,0.8417322317083766,0.7085131498967643,171,gp_nngp
0.3,0.8648138927575671,0.7479030691064968,206,gp_nngp
0.35000000000000003,0.8953440432413193,0.8016409557677135,240,gp_nngp
0.4,0.9201519366013952,0.8466795864312979,274,gp_nngp
0.45,0.9137217194489483,0.8348873805927426,308,gp_nngp
0.5,0.9241238824977612,0.8540049502027359,342,gp_nngp
0.55,0.9292891125720195,0.8635782547448916,377,gp_nngp
0.6000000000000001,0.9335400609310255,0.8714970453631028,411,gp_nngp
0.6500000000000001,0.9301912501330856,0.8652557618241526,445,gp_nngp
0.7000000000000001,0.9242165728617907,0.8541762735523937,479,gp_nngp
0.7500000000000001,0.9319768897672476,0.8685809230602323,514,gp_nngp
0.8,0.9374325723358115,0.8787798276761363,548,gp_nngp
0.8500000000000001,0.9347261162049251,0.873712912315543,582,gp_nngp
0.9000000000000001,0.9432244160181389,0.8896722989727592,616,gp_nngp
0.9500000000000001,0.9612387920058799,0.9239800152569233,650,gp_nngp
1.0,0.9736901252219152,0.948072459954669,684,gp_nngp
0.05,1.0206227726395536,1.04167084403045,35,gp_svgp
0.1,1.0796499419304841,1.165643997110498,69,gp_svgp
0.15000000000000002,1.0553772871144318,1.1138212181570177,103,gp_svgp
0.2,1.0632813664082523,1.130567264151,137,gp_svgp
0.25,1.0531835732274644,1.10919563891617,171,gp_svgp
0.3,1.06715394920787,1.1388175513099534,206,gp_svgp
0.35000000000000003,1.0521967188108434,1.1071179350763052,240,gp_svgp
0.4,1.0657553964594901,1.1358345650825252,274,gp_svgp
0.45,1.0830327329526255,1.172959900646833,308,gp_svgp
0.5,1.0854749633421548,1.1782558960426521,342,gp_svgp
0.55,1.0705331803010563,1.146041290125494,377,gp_svgp
0.6000000000000001,1.0760417023511593,1.1578657451987808,411,gp_svgp
0.6500000000000001,1.095910972807185,1.2010208603191903,445,gp_svgp
0.7000000000000001,1.0813266733266798,1.169267374447744,479,gp_svgp
0.7500000000000001,1.0861376415009987,1.1796949762853521,514,gp_svgp
0.8,1.0805512600567466,1.1675910256102229,548,gp_svgp
0.8500000000000001,1.0675930387634556,1.139754896416189,582,gp_svgp
0.9000000000000001,1.0598717018270147,1.1233280243336923,616,gp_svgp
0.9500000000000001,1.0557723794820117,1.114655317277109,650,gp_svgp
1.0,1.062803042445493,1.1295503070313966,684,gp_svgp
0.05,0.8102590273988012,0.6565196914812512,35,gp_nnsvgp
0.1,0.8047042790360922,0.6475489766989969,69,gp_nnsvgp
0.15000000000000002,0.7964852279504481,0.6343887183432771,103,gp_nnsvgp
0.2,0.8406902270803966,0.706760057908489,137,gp_nnsvgp
0.25,0.826430785600912,0.6829878433889405,171,gp_nnsvgp
0.3,0.8571023469210873,0.734624433097636,206,gp_nnsvgp
0.35000000000000003,0.8490988384823823,0.7209688375121307,240,gp_nnsvgp
0.4,0.9012927396097162,0.8123286024731877,274,gp_nnsvgp
0.45,0.9262896979710536,0.8580126045673058,308,gp_nnsvgp
0.5,0.9178828566950817,0.8425089386147239,342,gp_nnsvgp
0.55,0.9405336646657748,0.8846035743696321,377,gp_nnsvgp
0.6000000000000001,0.9442225350837676,0.8915561957600169,411,gp_nnsvgp
0.6500000000000001,0.9720274112510086,0.9448372882233373,445,gp_nnsvgp
0.7000000000000001,0.9796193116511648,0.9596539957599018,479,gp_nnsvgp
0.7500000000000001,0.987516287798172,0.975188418666682,514,gp_nnsvgp
0.8,0.9891119688053569,0.9783424868340094,548,gp_nnsvgp
0.8500000000000001,0.9862227275724826,0.9726352683805073,582,gp_nnsvgp
0.9000000000000001,0.9895687288477499,0.9792462691133516,616,gp_nnsvgp
0.9500000000000001,0.9844917195216477,0.9692239458066906,650,gp_nnsvgp
1.0,1.0036483310338205,1.0073099723869732,684,gp_nnsvgp
0.05,1.0206227726373793,1.0416708440260116,35,svgp_ensemble_uniform
0.1,1.0796499419283647,1.1656439971059214,69,svgp_ensemble_uniform
0.15000000000000002,1.0553772871151963,1.1138212181586313,103,svgp_ensemble_uniform
0.2,1.0632813664078162,1.1305672641500726,137,svgp_ensemble_uniform
0.25,1.0531835732270165,1.1091956389152267,171,svgp_ensemble_uniform
0.3,1.067153949207601,1.1388175513093792,206,svgp_ensemble_uniform
0.35000000000000003,1.0521967188111836,1.1071179350770208,240,svgp_ensemble_uniform
0.4,1.0657553964602866,1.1358345650842225,274,svgp_ensemble_uniform
0.45,1.0830327329531393,1.1729599006479459,308,svgp_ensemble_uniform
0.5,1.0854749633424572,1.1782558960433087,342,svgp_ensemble_uniform
0.55,1.0705331803013434,1.1460412901261088,377,svgp_ensemble_uniform
0.6000000000000001,1.0760417023518458,1.1578657452002585,411,svgp_ensemble_uniform
0.6500000000000001,1.095910972807054,1.2010208603189034,445,svgp_ensemble_uniform
0.7000000000000001,1.0813266733263558,1.1692673744470434,479,svgp_ensemble_uniform
0.7500000000000001,1.0861376415011157,1.179694976285606,514,svgp_ensemble_uniform
0.8,1.0805512600567255,1.1675910256101774,548,svgp_ensemble_uniform
0.8500000000000001,1.0675930387633046,1.1397548964158668,582,svgp_ensemble_uniform
0.9000000000000001,1.0598717018270534,1.1233280243337744,616,svgp_ensemble_uniform
0.9500000000000001,1.0557723794817724,1.1146553172766034,650,svgp_ensemble_uniform
1.0,1.0628030424452761,1.1295503070309354,684,svgp_ensemble_uniform
0.05,1.0206642070990894,1.0417554236532132,35,svgp_ensemble_precision
0.1,1.0796903316565871,1.165731212272711,69,svgp_ensemble_precision
0.15000000000000002,1.0553628310400143,1.1137907051407938,103,svgp_ensemble_precision
0.2,1.0632897406398074,1.130585072549869,137,svgp_ensemble_precision
0.25,1.0531921716898371,1.1092137505087556,171,svgp_ensemble_precision
0.3,1.0671591440214852,1.1388286386686688,206,svgp_ensemble_precision
0.35000000000000003,1.0521903319729735,1.107104494697396,240,svgp_ensemble_precision
0.4,1.065740331160532,1.1358024534621605,274,svgp_ensemble_precision
0.45,1.0830230416551707,1.1729389087560176,308,svgp_ensemble_precision
0.5,1.085469288003444,1.1782435751987037,342,svgp_ensemble_precision
0.55,1.0705277992028213,1.1460297688660361,377,svgp_ensemble_precision
0.6000000000000001,1.0760287231598127,1.157837813064937,411,svgp_ensemble_precision
0.6500000000000001,1.0959135411055476,1.2010264895785008,445,svgp_ensemble_precision
0.7000000000000001,1.081332913874758,1.1692808706288749,479,svgp_ensemble_precision
0.7500000000000001,1.086135499231133,1.1796903226900624,514,svgp_ensemble_precision
0.8,1.0805517399846045,1.1675920627837566,548,svgp_ensemble_precision
0.8500000000000001,1.0675959900015746,1.1397611978674422,582,svgp_ensemble_precision
0.9000000000000001,1.0598710459837124,1.1233266341146084,616,svgp_ensemble_precision
0.9500000000000001,1.0557770154384465,1.1146651063281139,650,svgp_ensemble_precision
1.0,1.0628072506268509,1.129559251985006,684,svgp_ensemble_precision
0.05,1.0206227726373793,1.0416708440260116,35,svgp_ensemble_mse
0.1,1.0796499419283647,1.1656439971059214,69,svgp_ensemble_mse
0.15000000000000002,1.0553772871151963,1.1138212181586313,103,svgp_ensemble_mse
0.2,1.0632813664078162,1.1305672641500726,137,svgp_ensemble_mse
0.25,1.0531835732270165,1.1091956389152267,171,svgp_ensemble_mse
0.3,1.067153949207601,1.1388175513093792,206,svgp_ensemble_mse
0.35000000000000003,1.0521967188111836,1.1071179350770208,240,svgp_ensemble_mse
0.4,1.0657553964602866,1.1358345650842225,274,svgp_ensemble_mse
0.45,1.0830327329531393,1.1729599006479459,308,svgp_ensemble_mse
0.5,1.0854749633424572,1.1782558960433087,342,svgp_ensemble_mse
0.55,1.0705331803013434,1.1460412901261088,377,svgp_ensemble_mse
0.6000000000000001,1.0760417023518458,1.1578657452002585,411,svgp_ensemble_mse
0.6500000000000001,1.095910972807054,1.2010208603189034,445,svgp_ensemble_mse
0.7000000000000001,1.0813266733263558,1.1692673744470434,479,svgp_ensemble_mse
0.7500000000000001,1.0861376415011157,1.179694976285606,514,svgp_ensemble_mse
0.8,1.0805512600567255,1.1675910256101774,548,svgp_ensemble_mse
0.8500000000000001,1.0675930387633046,1.1397548964158668,582,svgp_ensemble_mse
0.9000000000000001,1.0598717018270534,1.1233280243337744,616,svgp_ensemble_mse
0.9500000000000001,1.0557723794817724,1.1146553172766034,650,svgp_ensemble_mse
1.0,1.0628030424452761,1.1295503070309354,684,svgp_ensemble_mse
0.05,1.0210100894843,1.0424616028287381,35,svgp_ensemble_nll
0.1,1.080027311390236,1.1664589933488216,69,svgp_ensemble_nll
0.15000000000000002,1.0552504634147517,1.113553540537048,103,svgp_ensemble_nll
0.2,1.0633644572542928,1.1307439689517167,137,svgp_ensemble_nll
0.25,1.0532687843108053,1.1093751320035616,171,svgp_ensemble_nll
0.3,1.067207780531125,1.1389324468261701,206,svgp_ensemble_nll
0.35000000000000003,1.0521441270242586,1.107007264031639,240,svgp_ensemble_nll
0.4,1.0656229098891614,1.135552186080644,274,svgp_ensemble_nll
0.45,1.082949575455042,1.1727797829782556,308,svgp_ensemble_nll
0.5,1.0854287266672313,1.1781555206744474,342,svgp_ensemble_nll
0.55,1.0704897328071343,1.1459482680454898,377,svgp_ensemble_nll
0.6000000000000001,1.07592834444088,1.1576218023712928,411,svgp_ensemble_nll
0.6500000000000001,1.0959404915607647,1.2010855610424507,445,svgp_ensemble_nll
0.7000000000000001,1.0813900417640538,1.1694044224264621,479,svgp_ensemble_nll
0.7500000000000001,1.0861238934398718,1.1796651119009862,514,svgp_ensemble_nll
0.8,1.0805616575359176,1.1676134957367696,548,svgp_ensemble_nll
0.8500000000000001,1.0676262355695991,1.1398257788765134,582,svgp_ensemble_nll
0.9000000000000001,1.0598717711209091,1.1233281712189727,616,svgp_ensemble_nll
0.9500000000000001,1.0558211368662413,1.1147582730535224,650,svgp_ensemble_nll
1.0,1.0628478254960667,1.1296455001617176,684,svgp_ensemble_nll
0.05,0.8844985646164987,0.7823377108086466,35,nngp_ensemble_uniform
0.1,0.8419711208399936,0.7089153683285551,69,nngp_ensemble_uniform
0.15000000000000002,0.8258546388872438,0.6820358845715798,103,nngp_ensemble_uniform
0.2,0.7749118839953878,0.6004884279572813,137,nngp_ensemble_uniform
0.25,0.7871046241567546,0.6195336893689459,171,nngp_ensemble_uniform
0.3,0.7976670454197279,0.6362727153486382,206,nngp_ensemble_uniform
0.35000000000000003,0.795578090619239,0.6329444982733541,240,nngp_ensemble_uniform
0.4,0.8014665162414529,0.6423485766562111,274,nngp_ensemble_uniform
0.45,0.8460544455097592,0.715808124766826,308,nngp_ensemble_uniform
0.5,0.8637560574225818,0.7460745267342024,342,nngp_ensemble_uniform
0.55,0.8771690956959262,0.7694256224440089,377,nngp_ensemble_uniform
0.6000000000000001,0.8762189367219166,0.7677596250700861,411,nngp_ensemble_uniform
0.6500000000000001,0.8878980417139676,0.7883629324794985,445,nngp_ensemble_uniform
0.7000000000000001,0.8865105978192253,0.7859010400458001,479,nngp_ensemble_uniform
0.7500000000000001,0.8843186117941898,0.7820194071656029,514,nngp_ensemble_uniform
0.8,0.8768123998698459,0.7687999845655186,548,nngp_ensemble_uniform
0.8500000000000001,0.882961515559234,0.7796210379586594,582,nngp_ensemble_uniform
0.9000000000000001,0.8884910057643354,0.7894162673241202,616,nngp_ensemble_uniform
