Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,,6.609229533916807e-09,40,Task_0,gp_exact
0.1,0.9863013698630138,0.23345987448464267,79,Task_0,gp_exact
0.15000000000000002,0.7281553398058249,0.3014318125174638,118,Task_0,gp_exact
0.2,0.7481481481481475,0.39613276872475234,157,Task_0,gp_exact
0.25,0.7268244575936879,0.43910273636627045,196,Task_0,gp_exact
0.3,0.6282940360610256,0.42812344143094466,235,Task_0,gp_exact
0.35000000000000003,0.579028925619834,0.4208822139894223,275,Task_0,gp_exact
0.4,0.5040467625899291,0.38768839387535403,314,Task_0,gp_exact
0.45,0.5458333333333356,0.4107251874475948,353,Task_0,gp_exact
0.5,0.4921965317919107,0.38622643493683506,392,Task_0,gp_exact
0.55,0.4446475195822494,0.3627206713557536,431,Task_0,gp_exact
0.6000000000000001,0.46284965034965425,0.3631191260067781,470,Task_0,gp_exact
0.6500000000000001,0.47185185185185546,0.36278618276276203,509,Task_0,gp_exact
0.7000000000000001,0.4758128469468709,0.3617985744627241,549,Task_0,gp_exact
0.7500000000000001,0.542148362235069,0.3861347180954684,588,Task_0,gp_exact
0.8,0.5051615798922798,0.37037065002335284,627,Task_0,gp_exact
0.8500000000000001,0.47690677966101547,0.3578047907964547,666,Task_0,gp_exact
0.9000000000000001,0.5093184238551629,0.3645989008579892,705,Task_0,gp_exact
0.9500000000000001,0.5303625377643479,0.3702271632875146,744,Task_0,gp_exact
1.0,0.6352820844099893,0.3782156713748553,783,Task_0,gp_exact
0.05,,9.219876974639216e-09,40,Task_1,gp_exact
0.1,,1.1091757008141052e-07,79,Task_1,gp_exact
0.15000000000000002,0.7755102040816328,0.21872771044467967,118,Task_1,gp_exact
0.2,0.5891472868217065,0.17540144669593738,157,Task_1,gp_exact
0.25,0.46341463414634243,0.14334566927034118,196,Task_1,gp_exact
0.3,0.387755102040817,0.12282577295304929,235,Task_1,gp_exact
0.35000000000000003,0.3377777777777783,0.10872478912290841,275,Task_1,gp_exact
0.4,0.30278884462151434,0.09858215509850134,314,Task_1,gp_exact
0.45,0.6075268817204303,0.16274643911311676,353,Task_1,gp_exact
0.5,0.5485436893203888,0.14934869277125823,392,Task_1,gp_exact
0.55,0.4927325581395354,0.13627292618264317,431,Task_1,gp_exact
0.6000000000000001,0.6288288288288292,0.17844092003904996,470,Task_1,gp_exact
0.6500000000000001,0.6732673267326736,0.20786683447853774,509,Task_1,gp_exact
0.7000000000000001,0.7333333333333337,0.26421679389721336,549,Task_1,gp_exact
0.7500000000000001,0.7833212822366838,0.33089114396857194,588,Task_1,gp_exact
0.8,0.7354605114279252,0.317554045600857,627,Task_1,gp_exact
0.8500000000000001,0.690461015508817,0.30450259589518136,666,Task_1,gp_exact
0.9000000000000001,0.712231404958678,0.33240915556562356,705,Task_1,gp_exact
0.9500000000000001,0.7733968804159448,0.39656811054386615,744,Task_1,gp_exact
1.0,0.7779034362766423,0.40349832343121095,783,Task_1,gp_exact
0.05,0.5,0.5599454587810039,40,Task_0,gp_nngp
0.1,0.4523809523809522,0.48828867377057145,79,Task_0,gp_nngp
0.15000000000000002,0.44801980198019753,0.46855662538495135,118,Task_0,gp_nngp
0.2,0.5811688311688307,0.5412652748266191,157,Task_0,gp_nngp
0.25,0.4539306846999148,0.47963675297362857,196,Task_0,gp_nngp
0.3,0.37790288529204724,0.43420652430251994,235,Task_0,gp_nngp
0.35000000000000003,0.3209802749551699,0.3946293189935858,275,Task_0,gp_nngp
0.4,0.27997914494264997,0.36250540713179574,314,Task_0,gp_nngp
0.45,0.39049660593069174,0.3916436708664382,353,Task_0,gp_nngp
0.5,0.4116279069767467,0.39265709042876906,392,Task_0,gp_nngp
0.55,0.3736147757255965,0.3698207494472,431,Task_0,gp_nngp
0.6000000000000001,0.3986352630420452,0.37191025352592144,470,Task_0,gp_nngp
0.6500000000000001,0.36749188311688574,0.353129384617948,509,Task_0,gp_nngp
0.7000000000000001,0.33875794986906377,0.3347749590897015,549,Task_0,gp_nngp
0.7500000000000001,0.4162721893491135,0.35690578893485647,588,Task_0,gp_nngp
0.8,0.4316546762589924,0.358349019375642,627,Task_0,gp_nngp
0.8500000000000001,0.4060913705583742,0.34446023695336975,666,Task_0,gp_nngp
0.9000000000000001,0.4244941427050034,0.324923781153736,705,Task_0,gp_nngp
0.9500000000000001,0.5693234610917524,0.36897165134571336,744,Task_0,gp_nngp
1.0,0.6406653746770012,0.38972866772139103,783,Task_0,gp_nngp
0.05,,9.109308206875879e-12,40,Task_1,gp_nngp
0.1,,4.346465229981118e-11,79,Task_1,gp_nngp
0.15000000000000002,0.9400000000000002,0.21566233695338013,118,Task_1,gp_nngp
0.2,0.7611940298507467,0.2909733940412838,157,Task_1,gp_nngp
0.25,0.6071428571428583,0.246608707158374,196,Task_1,gp_nngp
0.3,0.507462686567165,0.21481866110071413,235,Task_1,gp_nngp
0.35000000000000003,0.6248196248196253,0.2630896444014902,275,Task_1,gp_nngp
0.4,0.5638020833333337,0.24365866051123058,314,Task_1,gp_nngp
0.45,0.5011574074074079,0.2226135268197821,353,Task_1,gp_nngp
0.5,0.4538784067085958,0.2059381408516155,392,Task_1,gp_nngp
0.55,0.6443804034582136,0.28333423102690897,431,Task_1,gp_nngp
0.6000000000000001,0.664884135472371,0.25468674948890857,470,Task_1,gp_nngp
0.6500000000000001,0.6825792661204135,0.2770764087872846,509,Task_1,gp_nngp
0.7000000000000001,0.6450116009280745,0.2637479583871256,549,Task_1,gp_nngp
0.7500000000000001,0.6587690631808282,0.28157877311874446,588,Task_1,gp_nngp
0.8,0.6270491803278692,0.2700649331288875,627,Task_1,gp_nngp
0.8500000000000001,0.6703275529865128,0.3049896644486827,666,Task_1,gp_nngp
0.9000000000000001,0.7226831669244833,0.31966305893936714,705,Task_1,gp_nngp
0.9500000000000001,0.7118141374196739,0.3237795315671208,744,Task_1,gp_nngp
1.0,0.7659852109612877,0.3139397030563437,783,Task_1,gp_nngp
0.05,,1.3311582383678992e-06,40,Task_0,nnsvgp_ensemble_uniform
