Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,0.0,0.38896640068705074,40,Task_0,nn_evd
0.1,0.26086956521739146,0.39236323639362564,79,Task_0,nn_evd
0.15000000000000002,0.5288461538461535,0.46134122458826443,118,Task_0,nn_evd
0.2,0.5440476190476186,0.48824678390917947,157,Task_0,nn_evd
0.25,0.4402697495183037,0.43570949964893085,196,Task_0,nn_evd
0.3,0.4361263736263731,0.4282649838773866,235,Task_0,nn_evd
0.35000000000000003,0.36726431463273523,0.3868159819862063,275,Task_0,nn_evd
0.4,0.3228266395526197,0.356717858423169,314,Task_0,nn_evd
0.45,0.36388888888889126,0.36102975085212374,353,Task_0,nn_evd
0.5,0.3265669515669548,0.3364722450956373,392,Task_0,nn_evd
0.55,0.422739018087858,0.3646286784815955,431,Task_0,nn_evd
0.6000000000000001,0.3858490566037764,0.34377135167274,470,Task_0,nn_evd
0.6500000000000001,0.3564270152505475,0.3261258034330592,509,Task_0,nn_evd
0.7000000000000001,0.44045209176788347,0.3508494624931727,549,Task_0,nn_evd
0.7500000000000001,0.4955102040816333,0.3451828380434462,588,Task_0,nn_evd
0.8,0.5297459893048124,0.3614799413781397,627,Task_0,nn_evd
0.8500000000000001,0.5587355031799467,0.33341562850342044,666,Task_0,nn_evd
0.9000000000000001,0.5846645367412129,0.3107293643753334,705,Task_0,nn_evd
0.9500000000000001,0.6218248993864208,0.30523755068064823,744,Task_0,nn_evd
1.0,0.6612833763996542,0.30350332251690154,783,Task_0,nn_evd
0.05,,3.739478268640508e-09,40,Task_1,nn_evd
0.1,0.7636363636363634,0.28557633601973426,79,Task_1,nn_evd
0.15000000000000002,0.6999999999999997,0.45175405697318904,118,Task_1,nn_evd
0.2,0.7115384615384615,0.5588342805611954,157,Task_1,nn_evd
0.25,0.5781250000000001,0.5110850742423935,196,Task_1,nn_evd
0.3,0.5955882352941186,0.5373402475362333,235,Task_1,nn_evd
0.35000000000000003,0.5090782122905047,0.49798165231927083,275,Task_1,nn_evd
0.4,0.49352750809061696,0.4918349799312333,314,Task_1,nn_evd
0.45,0.6187384044526916,0.5717490462078015,353,Task_1,nn_evd
0.5,0.6337535014005616,0.5970633557220523,392,Task_1,nn_evd
0.55,0.6575187969924825,0.5912075066757291,431,Task_1,nn_evd
0.6000000000000001,0.6733682983682997,0.5929942161119778,470,Task_1,nn_evd
0.6500000000000001,0.6587386108152897,0.6039231260362087,509,Task_1,nn_evd
0.7000000000000001,0.6154941924172712,0.5877242934958311,549,Task_1,nn_evd
0.7500000000000001,0.5906593406593426,0.5807483696047181,588,Task_1,nn_evd
0.8,0.610422036082476,0.5983008346129071,627,Task_1,nn_evd
0.8500000000000001,0.6413747080413764,0.5879755662821858,666,Task_1,nn_evd
0.9000000000000001,0.6437889960294968,0.5987576996528674,705,Task_1,nn_evd
0.9500000000000001,0.6314926749308487,0.5934880429127668,744,Task_1,nn_evd
1.0,0.6374485964598618,0.567912440856051,783,Task_1,nn_evd
0.05,0.23529411764705888,0.5672097759063996,40,Task_0,nn_mc_dropout
0.1,0.4666666666666665,0.48845364758443716,79,Task_0,nn_mc_dropout
0.15000000000000002,0.38221153846153794,0.4614747159038329,118,Task_0,nn_mc_dropout
0.2,0.36702127659574435,0.3872761912712856,157,Task_0,nn_mc_dropout
0.25,0.490285714285714,0.3889664589827511,196,Task_0,nn_mc_dropout
0.3,0.41706161137440717,0.34863521666458114,235,Task_0,nn_mc_dropout
0.35000000000000003,0.3534136546184737,0.3118756766167321,275,Task_0,nn_mc_dropout
0.4,0.3087719298245629,0.28355195220176177,314,Task_0,nn_mc_dropout
0.45,0.46639964396973904,0.32908318012118287,353,Task_0,nn_mc_dropout
0.5,0.48879551820728473,0.334875757625669,392,Task_0,nn_mc_dropout
0.55,0.5007140816909476,0.341834300624705,431,Task_0,nn_mc_dropout
0.6000000000000001,0.5503859348198992,0.36927075159389966,470,Task_0,nn_mc_dropout
0.6500000000000001,0.5468185104844564,0.3405887908488553,509,Task_0,nn_mc_dropout
0.7000000000000001,0.5486357330044725,0.3145558205441027,549,Task_0,nn_mc_dropout
0.7500000000000001,0.5844318895166364,0.33795793347010106,588,Task_0,nn_mc_dropout
0.8,0.5851465364120787,0.34178150120462086,627,Task_0,nn_mc_dropout
0.8500000000000001,0.5844910828653068,0.3250428039211335,666,Task_0,nn_mc_dropout
0.9000000000000001,0.6438428874734601,0.3095875494685448,705,Task_0,nn_mc_dropout
0.9500000000000001,0.6822492401215796,0.3223889639475895,744,Task_0,nn_mc_dropout
1.0,0.6869078380706274,0.31809034651176754,783,Task_0,nn_mc_dropout
0.05,,1.1278825583289558e-15,40,Task_1,nn_mc_dropout
0.1,0.3793103448275861,0.2749564272996825,79,Task_1,nn_mc_dropout
0.15000000000000002,0.5019157088122604,0.43131890719203086,118,Task_1,nn_mc_dropout
0.2,0.6360856269113149,0.54766349735412,157,Task_1,nn_mc_dropout
0.25,0.5135802469135807,0.49432720717439915,196,Task_1,nn_mc_dropout
0.3,0.6236559139784954,0.5608508021248525,235,Task_1,nn_mc_dropout
0.35000000000000003,0.6477511559478782,0.6097513642134867,275,Task_1,nn_mc_dropout
0.4,0.6648009950248768,0.5569115166261092,314,Task_1,nn_mc_dropout
0.45,0.6050884955752228,0.5345505614097587,353,Task_1,nn_mc_dropout
0.5,0.5572709163346631,0.5123856050995979,392,Task_1,nn_mc_dropout
0.55,0.6244155844155859,0.5683808688873633,431,Task_1,nn_mc_dropout
0.6000000000000001,0.6265277777777793,0.5855302586938176,470,Task_1,nn_mc_dropout
0.6500000000000001,0.5801575203252048,0.5675386572790442,509,Task_1,nn_mc_dropout
0.7000000000000001,0.5610198300283302,0.5655240941907675,549,Task_1,nn_mc_dropout
0.7500000000000001,0.5626289419392885,0.5512335227420725,588,Task_1,nn_mc_dropout
0.8,0.6122122762148352,0.5478456192921943,627,Task_1,nn_mc_dropout
0.8500000000000001,0.6294283413848646,0.5458515632910178,666,Task_1,nn_mc_dropout
0.9000000000000001,0.6264855687606127,0.5348060152150694,705,Task_1,nn_mc_dropout
0.9500000000000001,0.6458982877587542,0.5258386146756889,744,Task_1,nn_mc_dropout
1.0,0.6526908635794755,0.5066311136054421,783,Task_1,nn_mc_dropout
0.05,0.5151515151515149,0.40303907375459463,40,Task_0,nn_deep_ensemble
0.1,0.47826086956521763,0.2440841366909948,79,Task_0,nn_deep_ensemble
0.15000000000000002,0.5094339622641499,0.17368256935729662,118,Task_0,nn_deep_ensemble
0.2,0.2762237762237756,0.23757730857940937,157,Task_0,nn_deep_ensemble
0.25,0.46481481481481435,0.27078269113626374,196,Task_0,nn_deep_ensemble
0.3,0.4728682170542631,0.23715583125204134,235,Task_0,nn_deep_ensemble
0.35000000000000003,0.5876494023904381,0.26202516185928326,275,Task_0,nn_deep_ensemble
0.4,0.47660818713450426,0.31928918995790556,314,Task_0,nn_deep_ensemble
0.45,0.48177083333333554,0.29465702268465854,353,Task_0,nn_deep_ensemble
0.5,0.45987158908507486,0.30463317066034445,392,Task_0,nn_deep_ensemble
0.55,0.4699228791773813,0.364171294587722,431,Task_0,nn_deep_ensemble
0.6000000000000001,0.4644705882352977,0.34393330970788577,470,Task_0,nn_deep_ensemble
0.6500000000000001,0.4291304347826125,0.32776801064900835,509,Task_0,nn_deep_ensemble
0.7000000000000001,0.39798387096774535,0.3113522505163817,549,Task_0,nn_deep_ensemble
0.7500000000000001,0.4273415977961444,0.3183110389633204,588,Task_0,nn_deep_ensemble
0.8,0.4473995271867607,0.32279574608251504,627,Task_0,nn_deep_ensemble
0.8500000000000001,0.5304299274148507,0.3610317259256663,666,Task_0,nn_deep_ensemble
0.9000000000000001,0.5799436520514158,0.3913868630620252,705,Task_0,nn_deep_ensemble
0.9500000000000001,0.6155948784347557,0.37671001400750936,744,Task_0,nn_deep_ensemble
1.0,0.6824397071490078,0.3564435693036633,783,Task_0,nn_deep_ensemble
0.05,0.14285714285714268,0.5115732975511574,40,Task_1,nn_deep_ensemble
0.1,0.45736434108527113,0.6054523728085676,79,Task_1,nn_deep_ensemble
0.15000000000000002,0.46484374999999983,0.57889408576481,118,Task_1,nn_deep_ensemble
0.2,0.5562499999999999,0.5339261866263855,157,Task_1,nn_deep_ensemble
0.25,0.44999999999999996,0.5619899905875974,196,Task_1,nn_deep_ensemble
0.3,0.439080459770116,0.5772061346088839,235,Task_1,nn_deep_ensemble
0.35000000000000003,0.4412144702842394,0.5350807606441078,275,Task_1,nn_deep_ensemble
0.4,0.4552763819095494,0.5250051592664263,314,Task_1,nn_deep_ensemble
0.45,0.46444586803331356,0.5799844131985485,353,Task_1,nn_deep_ensemble
0.5,0.49783027965284643,0.6051257603231451,392,Task_1,nn_deep_ensemble
0.55,0.495954515635252,0.581595329268232,431,Task_1,nn_deep_ensemble
