Confidence_Cutoff,AUC,Brier_Score,N_Samples,Task,Method
0.05,0.5000000000000001,0.5584981269798506,40,Task_0,nn_evd
0.1,0.4535714285714285,0.5661647222438936,79,Task_0,nn_evd
0.15000000000000002,0.4097087378640769,0.5239999779306808,118,Task_0,nn_evd
0.2,0.30359712230215763,0.4486646018911073,157,Task_0,nn_evd
0.25,0.3409523809523805,0.43599239028822917,196,Task_0,nn_evd
0.3,0.2827804107424956,0.3904554945795353,235,Task_0,nn_evd
0.35000000000000003,0.349334875650665,0.3339845062827549,275,Task_0,nn_evd
0.4,0.4021352313167274,0.34134835685820203,314,Task_0,nn_evd
0.45,0.43811533052039553,0.348304068438519,353,Task_0,nn_evd
0.5,0.40550807217474066,0.3262011565291961,392,Task_0,nn_evd
0.55,0.432642487046634,0.33180739661313946,431,Task_0,nn_evd
0.6000000000000001,0.4564751286449418,0.3362334208551252,470,Task_0,nn_evd
0.6500000000000001,0.5129332206255302,0.33162938547394955,509,Task_0,nn_evd
0.7000000000000001,0.5804846938775529,0.3186301421939392,549,Task_0,nn_evd
0.7500000000000001,0.6052575564069824,0.33907230424075996,588,Task_0,nn_evd
0.8,0.6219928186714544,0.33343743890981065,627,Task_0,nn_evd
0.8500000000000001,0.5999999999999998,0.32491715066131416,666,Task_0,nn_evd
0.9000000000000001,0.6341158494235305,0.2971828445960327,705,Task_0,nn_evd
0.9500000000000001,0.6498780487804872,0.28433721755728475,744,Task_0,nn_evd
1.0,0.6619832041343661,0.28233097573384114,783,Task_0,nn_evd
0.05,0.3333333333333336,0.47821418252421516,40,Task_1,nn_evd
0.1,0.6091954022988504,0.5870530283330323,79,Task_1,nn_evd
0.15000000000000002,0.3882783882783888,0.47538953295646774,118,Task_1,nn_evd
0.2,0.2896174863387986,0.4033228676670342,157,Task_1,nn_evd
0.25,0.2264957264957269,0.34582425701276487,196,Task_1,nn_evd
0.3,0.1859649122807021,0.3026743501327717,235,Task_1,nn_evd
0.35000000000000003,0.15844544095665195,0.2699787967180747,275,Task_1,nn_evd
0.4,0.1396574440052702,0.2458371319154222,314,Task_1,nn_evd
0.45,0.12397660818713457,0.22714559738666462,353,Task_1,nn_evd
0.5,0.3336012861736336,0.26339217820272454,392,Task_1,nn_evd
0.55,0.3015988372093025,0.24424675136775428,431,Task_1,nn_evd
0.6000000000000001,0.41818181818181843,0.27028122802284577,470,Task_1,nn_evd
0.6500000000000001,0.4825436408977558,0.29257104411799273,509,Task_1,nn_evd
0.7000000000000001,0.5222591362126248,0.3114334186379066,549,Task_1,nn_evd
0.7500000000000001,0.5459956709956714,0.32413215312673455,588,Task_1,nn_evd
0.8,0.5137474541751531,0.3109137555054221,627,Task_1,nn_evd
0.8500000000000001,0.4832375478927206,0.29793182158055387,666,Task_1,nn_evd
0.9000000000000001,0.5648550724637683,0.2673976316124705,705,Task_1,nn_evd
0.9500000000000001,0.6479904178866118,0.3169228278578771,744,Task_1,nn_evd
1.0,0.7388429752066118,0.2937130725114482,783,Task_1,nn_evd
0.05,0.0,0.38229238160563117,40,Task_0,nn_mc_dropout
0.1,0.36231884057971014,0.3923916753099065,79,Task_0,nn_mc_dropout
0.15000000000000002,0.49206349206349176,0.3947858162699587,118,Task_0,nn_mc_dropout
0.2,0.3638497652582153,0.32484195876188904,157,Task_0,nn_mc_dropout
0.25,0.4632768361581917,0.3386440185980078,196,Task_0,nn_mc_dropout
0.3,0.3849765258215958,0.29829189139888296,235,Task_0,nn_mc_dropout
0.35000000000000003,0.4647773279352224,0.2514507428315079,275,Task_0,nn_mc_dropout
0.4,0.585663446873412,0.25723074021813125,314,Task_0,nn_mc_dropout
0.45,0.5978773584905674,0.27139840602692994,353,Task_0,nn_mc_dropout
0.5,0.6398860398860413,0.31236651603468435,392,Task_0,nn_mc_dropout
0.55,0.6361281205840806,0.2840145581618252,431,Task_0,nn_mc_dropout
0.6000000000000001,0.6346001583531293,0.2927375191506,470,Task_0,nn_mc_dropout
0.6500000000000001,0.6826373626373645,0.2835385386349851,509,Task_0,nn_mc_dropout
0.7000000000000001,0.6742617107942994,0.2926551908686753,549,Task_0,nn_mc_dropout
0.7500000000000001,0.7036221733039836,0.30905578045491866,588,Task_0,nn_mc_dropout
0.8,0.6950980392156867,0.2924552361811791,627,Task_0,nn_mc_dropout
0.8500000000000001,0.7043538249271809,0.2918118986611068,666,Task_0,nn_mc_dropout
0.9000000000000001,0.7224358974358971,0.3030509972529367,705,Task_0,nn_mc_dropout
0.9500000000000001,0.7252710027100263,0.29089983091839255,744,Task_0,nn_mc_dropout
1.0,0.7104866494401367,0.28936383955447936,783,Task_0,nn_mc_dropout
0.05,,1.2181142254374423e-15,40,Task_1,nn_mc_dropout
0.1,,1.3513555392858682e-15,79,Task_1,nn_mc_dropout
0.15000000000000002,,1.2367037666812062e-15,118,Task_1,nn_mc_dropout
0.2,0.6065573770491806,0.15535714161260097,157,Task_1,nn_mc_dropout
0.25,0.679824561403509,0.2345271741505984,196,Task_1,nn_mc_dropout
0.3,0.6227106227106232,0.20792595687383153,235,Task_1,nn_mc_dropout
0.35000000000000003,0.5841269841269845,0.18802140476808682,275,Task_1,nn_mc_dropout
0.4,0.7271186440677968,0.22086962815154063,314,Task_1,nn_mc_dropout
0.45,0.767857142857143,0.2431397831345862,353,Task_1,nn_mc_dropout
0.5,0.7322033898305087,0.22767801152959347,392,Task_1,nn_mc_dropout
0.55,0.7597784700588441,0.2919726717563738,431,Task_1,nn_mc_dropout
0.6000000000000001,0.7694712164626207,0.3391764315746955,470,Task_1,nn_mc_dropout
0.6500000000000001,0.7265587815326038,0.322823930378384,509,Task_1,nn_mc_dropout
0.7000000000000001,0.6894667832167836,0.3075470434217679,549,Task_1,nn_mc_dropout
0.7500000000000001,0.6840740740740744,0.3197679078812574,588,Task_1,nn_mc_dropout
