Confidence_Cutoff,AUC,Brier_Score,N_Samples,Method
0.05,,1.0914225665237253e-06,40,gp_exact
0.1,,8.380612943389879e-06,79,gp_exact
0.15000000000000002,0.8378378378378378,0.16207555557302927,118,gp_exact
0.2,0.6369863013698622,0.12833404963631606,157,gp_exact
0.25,0.5027027027027005,0.10426662537728033,196,gp_exact
0.3,0.7815315315315303,0.20171259910140676,236,gp_exact
0.35000000000000003,0.768253968253967,0.22642451466497676,275,gp_exact
0.4,0.8173758865248216,0.18058253800654803,314,gp_exact
0.45,0.834054834054833,0.1825919858200377,353,gp_exact
0.5,0.8344721181397391,0.1887673401553689,392,gp_exact
0.55,0.8213353226408048,0.1772040963587596,432,gp_exact
0.6000000000000001,0.8208532219570397,0.18045244514414524,471,gp_exact
0.6500000000000001,0.8425720620842565,0.18303057769790962,510,gp_exact
0.7000000000000001,0.8351786839499497,0.1959044816261634,549,gp_exact
0.7500000000000001,0.8219332048811814,0.20080874929808115,589,gp_exact
0.8,0.8102712477396026,0.20419242844241767,628,gp_exact
0.8500000000000001,0.7985503460885475,0.21015318590003954,667,gp_exact
0.9000000000000001,0.7866857142857158,0.21426268092439457,706,gp_exact
0.9500000000000001,0.7763951734539992,0.21529914960315263,745,gp_exact
1.0,0.7675753228120542,0.2166154934229719,784,gp_exact
0.05,1.0,3.5462865881738097e-07,40,gp_nngp
0.1,0.9542857142857143,0.12163351217334907,79,gp_nngp
0.15000000000000002,0.9207119741100324,0.09313948875856697,118,gp_nngp
0.2,0.8971631205673758,0.0801384632878922,157,gp_nngp
0.25,0.8751020408163259,0.1328523251462085,196,gp_nngp
0.3,0.8700209643605865,0.15981102177345882,236,gp_nngp
0.35000000000000003,0.8391111111111104,0.14622114356219232,275,gp_nngp
0.4,0.8506039415130319,0.12408109161883787,314,gp_nngp
0.45,0.8374999999999995,0.11655712419654886,353,gp_nngp
0.5,0.8508700930797243,0.19883960025089237,392,gp_nngp
0.55,0.8335042735042728,0.21243246460509302,432,gp_nngp
0.6000000000000001,0.8087843137254893,0.20256661557979133,471,gp_nngp
0.6500000000000001,0.8128692525044944,0.20921450597688288,510,gp_nngp
0.7000000000000001,0.8096919127086,0.23750131883515935,549,gp_nngp
0.7500000000000001,0.8036616161616161,0.23935042845295768,589,gp_nngp
0.8,0.807874481941978,0.2536582766205198,628,gp_nngp
0.8500000000000001,0.7963819095477396,0.24178687044119376,667,gp_nngp
0.9000000000000001,0.7954144620811302,0.23926937488500816,706,gp_nngp
0.9500000000000001,0.7851772287862533,0.24116500321141726,745,gp_nngp
1.0,0.7778162568643965,0.24021523485713783,784,gp_nngp
0.05,0.8717948717948718,0.35813233591726784,40,svgp_ensemble_uniform
0.1,0.45333333333333337,0.22504080759116166,79,svgp_ensemble_uniform
