Confidence_Cutoff,AUC,Brier_Score,N_Samples,Method
0.05,,9.528291146310153e-05,40,gp_exact
0.1,,0.0007053512829843365,79,gp_exact
0.15000000000000002,0.8190476190476188,0.14985836317652368,118,gp_exact
0.2,0.9111111111111109,0.19090901727158704,157,gp_exact
0.25,0.8653198653198649,0.19978328767715323,196,gp_exact
0.3,0.8243781094527359,0.189944966830929,235,gp_exact
0.35000000000000003,0.8287356321839079,0.18475680536028247,275,gp_exact
0.4,0.8122641509433963,0.1975985384072934,314,gp_exact
0.45,0.8044554455445554,0.21396696520340583,353,gp_exact
0.5,0.7914121138069485,0.22225556866032473,392,gp_exact
0.55,0.7887700534759375,0.22991241117079658,431,gp_exact
0.6000000000000001,0.7605779153766788,0.2394013104808783,470,gp_exact
0.6500000000000001,0.7488738738738759,0.24106652318897265,509,gp_exact
0.7000000000000001,0.7489648033126314,0.24631592251464382,549,gp_exact
0.7500000000000001,0.7135995955510632,0.24751840380214166,588,gp_exact
0.8,0.7049304295220817,0.24704507123263367,627,gp_exact
0.8500000000000001,0.7076944917660416,0.24898670785859178,666,gp_exact
0.9000000000000001,0.6919354838709669,0.24689425635873505,705,gp_exact
0.9500000000000001,0.6959538932015984,0.24697812719904721,744,gp_exact
1.0,0.6908376399655454,0.24699087822939608,783,gp_exact
0.05,0.9238095238095237,0.21632197280260798,40,gp_nngp
0.1,0.7952380952380952,0.16101847619673562,79,gp_nngp
0.15000000000000002,0.8095238095238093,0.20193226458674,118,gp_nngp
0.2,0.7869047619047617,0.23791911377359012,157,gp_nngp
0.25,0.7256554307116101,0.20897875976369568,196,gp_nngp
0.3,0.6903633491311213,0.18905285232693692,235,gp_nngp
0.35000000000000003,0.7236842105263156,0.2502644552853346,275,gp_nngp
0.4,0.6825892857142863,0.23245387269652887,314,gp_nngp
0.45,0.6772486772486784,0.24811299306523832,353,gp_nngp
0.5,0.6428571428571446,0.23289648073505864,392,gp_nngp
0.55,0.6125429553264626,0.22130365602130433,431,gp_nngp
0.6000000000000001,0.6739904988123535,0.26522589564593363,470,gp_nngp
0.6500000000000001,0.6712049012933989,0.24885073809061167,509,gp_nngp
0.7000000000000001,0.6430141287284168,0.23836368493918939,549,gp_nngp
0.7500000000000001,0.7169871794871807,0.25159956376701553,588,gp_nngp
0.8,0.7073494547178761,0.2518875674900132,627,gp_nngp
0.8500000000000001,0.6987288135593218,0.2520559053822328,666,gp_nngp
0.9000000000000001,0.6891788766788761,0.25388967316881883,705,gp_nngp
0.9500000000000001,0.693196150016594,0.254454659514735,744,gp_nngp
1.0,0.7115633074935389,0.25346661971191675,783,gp_nngp
0.05,,2.6570768076546793e-05,40,svgp_ensemble_uniform
0.1,0.8933333333333332,0.3614869005704993,79,svgp_ensemble_uniform
0.15000000000000002,0.6261682242990648,0.2852845760681222,118,svgp_ensemble_uniform
0.2,0.7167832167832161,0.36462922540936316,157,svgp_ensemble_uniform
0.25,0.5726256983240217,0.3159043357093927,196,svgp_ensemble_uniform
0.3,0.6253894080996878,0.3594604811265155,235,svgp_ensemble_uniform
0.35000000000000003,0.6001147446930575,0.35756565416270153,275,svgp_ensemble_uniform
0.4,0.5833333333333344,0.35707487633030055,314,svgp_ensemble_uniform
0.45,0.5172955974842791,0.3315614580410381,353,svgp_ensemble_uniform
0.5,0.5234001910219703,0.3341012867721548,392,svgp_ensemble_uniform
0.55,0.4781849912740001,0.3156200498674333,431,svgp_ensemble_uniform
0.6000000000000001,0.4401606425702851,0.2991985579239357,470,svgp_ensemble_uniform
0.6500000000000001,0.4569844789357022,0.30067630092211917,509,svgp_ensemble_uniform
0.7000000000000001,0.4696348733234015,0.3011258803728264,549,svgp_ensemble_uniform
0.7500000000000001,0.43736988202637206,0.2877274587739465,588,svgp_ensemble_uniform
0.8,0.4546130952380948,0.28874373157728134,627,svgp_ensemble_uniform
0.8500000000000001,0.508163265306121,0.30035090578569923,666,svgp_ensemble_uniform
0.9000000000000001,0.4791713832918245,0.28972963279175656,705,svgp_ensemble_uniform
0.9500000000000001,0.45467239527389586,0.280587670012996,744,svgp_ensemble_uniform
1.0,0.706610680447888,0.3431507926480078,783,svgp_ensemble_uniform
0.05,,1.2319129057755529e-05,40,svgp_ensemble_mse
0.1,0.8947368421052632,0.2220386107942864,79,svgp_ensemble_mse
0.15000000000000002,0.6818181818181813,0.28173925331289673,118,svgp_ensemble_mse
0.2,0.6505747126436773,0.3055609776197438,157,svgp_ensemble_mse
0.25,0.6333333333333327,0.31784705668060426,196,svgp_ensemble_mse
0.3,0.6478873239436613,0.3659345136119586,235,svgp_ensemble_mse
0.35000000000000003,0.554216867469879,0.33174420184420145,275,svgp_ensemble_mse
0.4,0.6022321428571438,0.3632950004356626,314,svgp_ensemble_mse
