Confidence_Cutoff,AUC,Brier_Score,N_Samples,Method
0.05,,3.347660171515443e-07,40,gp_exact
0.1,,4.128677060192972e-06,79,gp_exact
0.15000000000000002,0.8660714285714286,0.1613967239737499,118,gp_exact
0.2,0.6510067114093951,0.12648215995699214,157,gp_exact
0.25,0.5243243243243222,0.10455651671515476,196,gp_exact
0.3,0.6576576576576556,0.1587065225639482,236,gp_exact
0.35000000000000003,0.7060367454068227,0.1925828818338455,275,gp_exact
0.4,0.720279720279719,0.16589027162947637,314,gp_exact
0.45,0.8217084639498423,0.19789874287281523,353,gp_exact
0.5,0.8170454545454536,0.201944240364626,392,gp_exact
0.55,0.7960433349034375,0.21179269312085583,432,gp_exact
0.6000000000000001,0.8094672548354248,0.1960354997890018,471,gp_exact
0.6500000000000001,0.8228859390363805,0.19398492988365393,510,gp_exact
0.7000000000000001,0.8177542621987057,0.1963463920032606,549,gp_exact
0.7500000000000001,0.8103806781829811,0.19667413518435464,589,gp_exact
0.8,0.8031046931407945,0.20468101707472897,628,gp_exact
0.8500000000000001,0.7953976311336727,0.20916796133386065,667,gp_exact
0.9000000000000001,0.7887719298245629,0.21095117124153986,706,gp_exact
0.9500000000000001,0.7755952380952401,0.21753489673916454,745,gp_exact
1.0,0.7640627319052121,0.21949705768705008,784,gp_exact
0.05,1.0,9.242596825013495e-07,40,gp_nngp
0.1,0.8771428571428571,0.24310858065713242,79,gp_nngp
0.15000000000000002,0.7813084112149533,0.201533356558293,118,gp_nngp
0.2,0.7805164319248822,0.15958637008760881,157,gp_nngp
0.25,0.8160511363636358,0.1861375976344032,196,gp_nngp
0.3,0.7828638497652577,0.16838687589896992,236,gp_nngp
0.35000000000000003,0.787674313990103,0.14719231834275798,275,gp_nngp
0.4,0.7925795053003528,0.17337393552461783,314,gp_nngp
0.45,0.8099369085173498,0.1501175945570353,353,gp_nngp
0.5,0.8075827306596532,0.1708784093261943,392,gp_nngp
0.55,0.8259740259740254,0.17833684491085985,432,gp_nngp
0.6000000000000001,0.817674937273487,0.19205109951534835,471,gp_nngp
0.6500000000000001,0.8266447368421046,0.21827177819433305,510,gp_nngp
0.7000000000000001,0.8165208940719139,0.2274466367649443,549,gp_nngp
0.7500000000000001,0.811787072243346,0.24986318942102922,589,gp_nngp
0.8,0.7969858156028373,0.2555132286851575,628,gp_nngp
0.8500000000000001,0.8006936702588885,0.2515555166141934,667,gp_nngp
0.9000000000000001,0.7910346388951788,0.25607817938475347,706,gp_nngp
0.9500000000000001,0.7820252769542847,0.25823105895687803,745,gp_nngp
1.0,0.7657448176915866,0.2578309639304671,784,gp_nngp
0.05,0.5897435897435898,0.3584788294968782,40,svgp_ensemble_uniform
0.1,0.31081081081081074,0.22760801582542453,79,svgp_ensemble_uniform
0.15000000000000002,0.2053571428571429,0.16300253479212326,118,svgp_ensemble_uniform
0.2,0.1564625850340119,0.12922249856757156,157,svgp_ensemble_uniform
0.25,0.12432432432432317,0.1054919682783222,196,svgp_ensemble_uniform
0.3,0.48868778280542907,0.16390422258210802,236,svgp_ensemble_uniform
0.35000000000000003,0.6990196078431365,0.25192761966787175,275,svgp_ensemble_uniform
0.4,0.6951388888888879,0.2708392455981849,314,svgp_ensemble_uniform
0.45,0.6734374999999986,0.2857252570095934,353,svgp_ensemble_uniform
0.5,0.6910112359550546,0.3220373814879549,392,svgp_ensemble_uniform
0.55,0.6243654822335007,0.30057311939364195,432,svgp_ensemble_uniform
0.6000000000000001,0.6178294573643393,0.3053557056730008,471,svgp_ensemble_uniform
0.6500000000000001,0.5664534470504602,0.28756234135134306,510,svgp_ensemble_uniform
0.7000000000000001,0.6424515698062783,0.32961809577959056,549,svgp_ensemble_uniform
0.7500000000000001,0.5947742733457023,0.3133281827275006,589,svgp_ensemble_uniform
0.8,0.5575362318840597,0.30004217064616123,628,svgp_ensemble_uniform
0.8500000000000001,0.5596122371899814,0.30174636742872946,667,svgp_ensemble_uniform
0.9000000000000001,0.6150700934579469,0.32774418079756695,706,svgp_ensemble_uniform
0.9500000000000001,0.5832717872969022,0.3169642907691978,745,svgp_ensemble_uniform
1.0,0.7597585712165463,0.3423472944300599,784,svgp_ensemble_uniform
0.05,0.1842105263157895,0.3650691222877704,40,svgp_ensemble_mse
0.1,0.0921052631578948,0.22332427841501845,79,svgp_ensemble_mse
0.15000000000000002,0.06306306306306309,0.16449794924589958,118,svgp_ensemble_mse
0.2,0.5675675675675671,0.3062593670334151,157,svgp_ensemble_mse
0.25,0.45901639344262185,0.2631443198466627,196,svgp_ensemble_mse
0.3,0.3783783783783765,0.2274634264076229,236,svgp_ensemble_mse
0.35000000000000003,0.4730769230769214,0.2507004898919037,275,svgp_ensemble_mse
0.4,0.5258503401360531,0.269631874114325,314,svgp_ensemble_mse
0.45,0.4656626506024082,0.24642023068848332,353,svgp_ensemble_mse
0.5,0.4247252747252731,0.22976589686768675,392,svgp_ensemble_mse
0.55,0.48291666666666533,0.24503412361797913,432,svgp_ensemble_mse
0.6000000000000001,0.6554524361948947,0.3313042576825765,471,svgp_ensemble_mse
0.6500000000000001,0.6036324786324775,0.31346957436313694,510,svgp_ensemble_mse
0.7000000000000001,0.6307157057654067,0.3355934861121776,549,svgp_ensemble_mse
0.7500000000000001,0.617390058730841,0.33799119872360056,589,svgp_ensemble_mse
0.8,0.6096491228070186,0.3396825482322308,628,svgp_ensemble_mse
0.8500000000000001,0.6023140495867789,0.33942576811495273,667,svgp_ensemble_mse
0.9000000000000001,0.567601246105922,0.32677128932673594,706,svgp_ensemble_mse
0.9500000000000001,0.5663774002954247,0.324853929213592,745,svgp_ensemble_mse
1.0,0.7508534111710308,0.3068455363639328,784,svgp_ensemble_mse
0.05,0.7105263157894737,0.36444082754491774,40,svgp_ensemble_nll
0.1,0.3648648648648648,0.22759186770621145,79,svgp_ensemble_nll
0.15000000000000002,0.5136363636363637,0.2833906179586417,118,svgp_ensemble_nll
0.2,0.3896551724137919,0.23084144020261776,157,svgp_ensemble_nll
0.25,0.3087431693989052,0.1921585881667238,196,svgp_ensemble_nll
0.3,0.479452054794519,0.2288687968003404,236,svgp_ensemble_nll
0.35000000000000003,0.5490196078431362,0.25295614522389637,275,svgp_ensemble_nll
0.4,0.5805555555555544,0.27188219785471396,314,svgp_ensemble_nll
0.45,0.5879917184264996,0.2853938010455578,353,svgp_ensemble_nll
0.5,0.5862344937975174,0.29494336923275966,392,svgp_ensemble_nll
0.55,0.5875634517766481,0.30093085038604506,432,svgp_ensemble_nll
0.6000000000000001,0.590520590520589,0.30607907623815045,471,svgp_ensemble_nll
0.6500000000000001,0.544802867383511,0.28951898036357543,510,svgp_ensemble_nll
0.7000000000000001,0.5533864541832663,0.2933844002670806,549,svgp_ensemble_nll
0.7500000000000001,0.5890644361833959,0.3132415477214339,589,svgp_ensemble_nll
0.8,0.5521196283391424,0.29995838444418405,628,svgp_ensemble_nll
0.8500000000000001,0.5527112232030291,0.3017875575342448,667,svgp_ensemble_nll
0.9000000000000001,0.5578760275494368,0.30363034468838085,706,svgp_ensemble_nll
0.9500000000000001,0.6083362339018482,0.3255595743059998,745,svgp_ensemble_nll
1.0,0.7595112056597263,0.33262296957444554,784,svgp_ensemble_nll
0.05,0.23684210526315785,0.354022287482731,40,nnsvgp_ensemble_uniform
0.1,0.11842105263157898,0.216716248821712,79,nnsvgp_ensemble_uniform
0.15000000000000002,0.4954545454545455,0.2743111825800819,118,nnsvgp_ensemble_uniform
0.2,0.651408450704225,0.36610694567879926,157,nnsvgp_ensemble_uniform
